RollNumber,DSNumber,MainFieldCoverage,SubfieldCoverage,ExtraScan,MainFieldCount,SubfieldCount
22PW02,MILESTONE1,100,100,0,169,67600
RollNo_123,Sample,100,100,0,2,800
